ch3_x/mm	y/mm	I/nA
170	59.5	0.6
169.5	59.5	0.7
169	59.5	0.7
168.5	59.5	0.9
168	59.5	1
167.5	59.5	1.2
167	59.5	1.6
166.5	59.5	2.2
166	59.5	3.9
165.5	59.5	17.2
165	59.5	24.8
164.5	59.5	26.1
164	59.5	26.7
163.5	59.5	27.5
163	59.5	28.1
162.5	59.5	28.3
162	59.5	28.6
161.5	59.5	29
161	59.5	28.7
160.5	59.5	28.4
160	59.5	26
159.5	59.5	8.9
159	59.5	2.9
158.5	59.5	2.1
158	59.5	1.5
157.5	59.5	1.1
157	59.5	0.9
