ch2_x/mm	y/mm	I/nA
175.5	59.5	0.8
175	59.5	0.9
174.5	59.5	1
174	59.5	1.2
173.5	59.5	1.4
173	59.5	1.9
172.5	59.5	2.5
172	59.5	5.1
171.5	59.5	20.5
171	59.5	25.6
170.5	59.5	26.3
170	59.5	26.7
169.5	59.5	26.4
169	59.5	26.2
168.5	59.5	26.2
168	59.5	26.3
167.5	59.5	26.1
167	59.5	25.9
166.5	59.5	25.7
166	59.5	25.2
165.5	59.5	24.7
165	59.5	21
164.5	59.5	9.3
164	59.5	2.7
163.5	59.5	1.8
163	59.5	1.3
162.5	59.5	1.1
162	59.5	0.9
161.5	59.5	0.8
