ch1_x/mm	y/mm	I/nA
177	59.5	1.1
176.5	59.5	2
176	59.5	29
175.5	59.5	35
175	59.5	33.7
174.5	59.5	32
174	59.5	32.1
173.5	59.5	31.3
173	59.5	30.5
172.5	59.5	29.2
172	59.5	28.1
171.5	59.5	27
171	59.5	22.8
170.5	59.5	7
170	59.5	2.6
169.5	59.5	1.8
169	59.5	1.3
168.5	59.5	1.06
168	59.5	0.9
